"Year","Rank","Author","Title","Contributor","Description"
2011,9,"David Sedaris","SQUIRREL SEEKS CHIPMUNK","by David Sedaris. Illustrated by Ian Falconer","The humorist looks at human nature through stories with animals as characters."
2011,10,"Kathryn Stockett","THE HELP","by Kathryn Stockett","A young Southern white woman and two black maids."
2011,11,"Nicholas Sparks","SAFE HAVEN","by Nicholas Sparks","The arrival of a mysterious young woman in a small North Carolina town raises questions about her past."
2011,12,"David Baldacci","HELL'S CORNER","by David Baldacci","Recalled to duty, Oliver Stone hunts for those responsible for a bomb detonated near the White House."
2011,13,"Steve Martin","AN OBJECT OF BEAUTY","by Steve Martin","A young, beautiful and ambitious woman ruthlessly ascends the heights of the Manhattan art world."
2011,14,"Clive Cussler and Dirk Cussler","CRESCENT DAWN","by Clive Cussler and Dirk Cussler","Dirk Pitt seeks a tie between a trove of ancient Roman artifacts and a series of mosque explosions."
2011,15,"Emma Donoghue","ROOM","by Emma Donoghue","A mother’s prison is her young son’s entire world."
2011,16,"Robert Jordan and Brandon Sanderson","TOWERS OF MIDNIGHT","by Robert Jordan and Brandon Sanderson","The sun has begun to set upon the Third Age, and Perrin Aybara is hunted by specters from his past: Whitecloaks, a slayer of wolves, and the responsibilities of leadership; Book 13 of the Wheel of Time fantasy series."
2011,17,"Vince Flynn","AMERICAN ASSASSIN","by Vince Flynn","In the wake of the Lockerbie bombing, Mitch Rapp takes on his first antiterrorist assignment for the C.I.A."
2011,18,"Jan Karon","IN THE COMPANY OF OTHERS","by Jan Karon","In Ireland, the Episcopal priest Tim Kavanagh finds an old journal that could solve a crime."
2011,19,"Fannie Flagg","I STILL DREAM ABOUT YOU","by Fannie Flagg","A former Miss Alabama’s radical plan to solve all her problems keeps getting interrupted."
2011,20,"Newt Gingrich and William R Forstchen","VALLEY FORGE","by Newt Gingrich and William R. Forstchen",""
2012,1,"Stephen King","11/22/63","by Stephen King","An English teacher travels back to 1958 by way of a time portal in a Maine diner. His assignment is to stop Lee Harvey Oswald."
2012,2,"Tom Clancy with Mark Greaney","LOCKED ON","by Tom Clancy with Mark Greaney","Jack Ryan Jr. must stop an emerging threat from a Pakistani general."
2012,3,"John Grisham","THE LITIGATORS","by John Grisham","Partners in a small law firm take on a big case after a fast-track burnout joins them."
2012,4,"James Patterson","KILL ALEX CROSS","by James Patterson","Alex Cross investigates when the president’s children are kidnapped, but the F.BI. and C.I.A. stand in his way."
2012,5,"P D James","DEATH COMES TO PEMBERLEY","by P. D. James","Six years after Elizabeth Bennet and Darcy marry, their comfortable life is shaken by a murder, as James recreates the world of “Pride and Prejudice” with a mysterious twist."
2012,6,"Nicholas Sparks","THE BEST OF ME","by Nicholas Sparks","Twenty-five years after their high school romance ended, a man and woman who have gone their separate ways return to their North Carolina town for the funeral of a friend."
2012,7,"Patricia Cornwell","RED MIST","by Patricia Cornwell","The chief medical examiner Kay Scarpetta investigates a string of killings she believes are linked to the murder of her former deputy; the 19th Scarpetta book."
2012,8,"Janet Evanovich","EXPLOSIVE EIGHTEEN","by Janet Evanovich","After a disastrous vacation in Hawaii, Stephanie Plum becomes the target of an international killer."
2012,9,"Michael Connelly","THE DROP","by Michael Connelly","Harry Bosch of the L.A.P.D. uncovers both the operations of a sadistic killer and a political conspiracy."
2012,10,"Sue Grafton","V IS FOR VENGEANCE","by Sue Grafton","Pursuing a shoplifter, Kinsey Millhone discovers that retail crime is run by organized gangs."
2012,11,"Chad Harbach","THE ART OF FIELDING","by Chad Harbach","A gifted but vulnerable ballplayer faces a crisis."
2012,12,"Haruki Murakami","1Q84","by Haruki Murakami","In 1980s Tokyo, a woman who punishes perpetrators of domestic violence has ties to an aspiring novelist with an unusual project."
2012,13,"Michael Crichton and Richard Preston","MICRO","by Michael Crichton and Richard Preston","Seven graduate students, miniaturized by an evil entrepreneur, do battle with insects in the Hawaiian rain forest."
2012,14,"George R R Martin","A DANCE WITH DRAGONS","by George R. R. Martin","After a colossal battle, the Seven Kingdoms face new threats; Book 5 of ""A Song of Ice and Fire."""
2012,15,"David Baldacci","ZERO DAY","by David Baldacci","A military investigator uncovers a conspiracy."
2012,16,"Jeffrey Eugenides","THE MARRIAGE PLOT","by Jeffrey Eugenides","Three Brown graduates in the early 1980s — the beautiful, uncertain Madeleine; the charismatic Leonard; and the mystically inclined Mitchell — wrestle with love, religion and coming of age."
